BIOPROJECT	MATCHED_UNIT_ID	CONTRAST	LEVEL_A	LEVEL_B	RICHNESS_A	RICHNESS_B	DIFFERENCE_A_MINUS_B
PRJNA1346432	PRJNA1346432:VB	MAIN_FRACTION_E_MINUS_I	E_MEAN	I_MEAN	36.0	67.5	-31.5
PRJNA1346432	PRJNA1346432:VB	INTERACTION_E_STAGE_MINUS_I_STAGE	E_STAGE_EFFECT	I_STAGE_EFFECT	72	119	-47
PRJNA881852	PRJNA881852:CB:C	E_POST_MINUS_PRE	E_POST	E_PRE	4	0	4
PRJNA881852	PRJNA881852:CB:C	I_POST_MINUS_PRE	I_POST	I_PRE	18	20	-2
PRJNA881852	PRJNA881852:CB:C	PRE_E_MINUS_I	E_PRE	I_PRE	0	20	-20
PRJNA881852	PRJNA881852:CB:C	POST_E_MINUS_I	E_POST	I_POST	4	18	-14
PRJNA881852	PRJNA881852:CB:C	MAIN_STAGE_POST_MINUS_PRE	POST_MEAN	PRE_MEAN	11.0	10.0	1.0
PRJNA881852	PRJNA881852:CB:C	MAIN_FRACTION_E_MINUS_I	E_MEAN	I_MEAN	2.0	19.0	-17.0
PRJNA881852	PRJNA881852:CB:C	INTERACTION_E_STAGE_MINUS_I_STAGE	E_STAGE_EFFECT	I_STAGE_EFFECT	4	-2	6
PRJNA881852	PRJNA881852:CB:D	E_POST_MINUS_PRE	E_POST	E_PRE	1	0	1
PRJNA881852	PRJNA881852:CB:D	I_POST_MINUS_PRE	I_POST	I_PRE	19	25	-6
PRJNA881852	PRJNA881852:CB:D	PRE_E_MINUS_I	E_PRE	I_PRE	0	25	-25
PRJNA881852	PRJNA881852:CB:D	POST_E_MINUS_I	E_POST	I_POST	1	19	-18
PRJNA881852	PRJNA881852:CB:D	MAIN_STAGE_POST_MINUS_PRE	POST_MEAN	PRE_MEAN	10.0	12.5	-2.5
PRJNA881852	PRJNA881852:CB:D	MAIN_FRACTION_E_MINUS_I	E_MEAN	I_MEAN	0.5	22.0	-21.5
PRJNA881852	PRJNA881852:CB:D	INTERACTION_E_STAGE_MINUS_I_STAGE	E_STAGE_EFFECT	I_STAGE_EFFECT	1	-6	7
PRJNA881852	PRJNA881852:VB:A	E_POST_MINUS_PRE	E_POST	E_PRE	13	5	8
PRJNA881852	PRJNA881852:VB:A	I_POST_MINUS_PRE	I_POST	I_PRE	20	19	1
PRJNA881852	PRJNA881852:VB:A	PRE_E_MINUS_I	E_PRE	I_PRE	5	19	-14
PRJNA881852	PRJNA881852:VB:A	POST_E_MINUS_I	E_POST	I_POST	13	20	-7
PRJNA881852	PRJNA881852:VB:A	MAIN_STAGE_POST_MINUS_PRE	POST_MEAN	PRE_MEAN	16.5	12.0	4.5
PRJNA881852	PRJNA881852:VB:A	MAIN_FRACTION_E_MINUS_I	E_MEAN	I_MEAN	9.0	19.5	-10.5
PRJNA881852	PRJNA881852:VB:A	INTERACTION_E_STAGE_MINUS_I_STAGE	E_STAGE_EFFECT	I_STAGE_EFFECT	8	1	7
PRJNA881852	PRJNA881852:VB:B	E_POST_MINUS_PRE	E_POST	E_PRE	2	0	2
PRJNA881852	PRJNA881852:VB:B	I_POST_MINUS_PRE	I_POST	I_PRE	15	16	-1
PRJNA881852	PRJNA881852:VB:B	PRE_E_MINUS_I	E_PRE	I_PRE	0	16	-16
PRJNA881852	PRJNA881852:VB:B	POST_E_MINUS_I	E_POST	I_POST	2	15	-13
PRJNA881852	PRJNA881852:VB:B	MAIN_STAGE_POST_MINUS_PRE	POST_MEAN	PRE_MEAN	8.5	8.0	0.5
PRJNA881852	PRJNA881852:VB:B	MAIN_FRACTION_E_MINUS_I	E_MEAN	I_MEAN	1.0	15.5	-14.5
PRJNA881852	PRJNA881852:VB:B	INTERACTION_E_STAGE_MINUS_I_STAGE	E_STAGE_EFFECT	I_STAGE_EFFECT	2	-1	3
PRJNA1066593	PRJNA1066593:CB	E_MINUS_I	EXTRACELLULAR_DNA	INTRACELLULAR_DNA	1	3	-2
PRJNA1066593	PRJNA1066593:GV	E_MINUS_I	EXTRACELLULAR_DNA	INTRACELLULAR_DNA	2	8	-6
PRJNA1066593	PRJNA1066593:VB	E_MINUS_I	EXTRACELLULAR_DNA	INTRACELLULAR_DNA	1	11	-10
