GENE_CLEAN	PROJECTS_DETECTED	PROJECTS_I_ENRICHED	PROJECTS_E_ENRICHED	PROJECTS_BALANCED	CONSENSUS_CLASS	TOTAL_BOTH_PRESENT	TOTAL_E_ONLY	TOTAL_I_ONLY	TOTAL_DISCORDANT	I_ONLY_MINUS_E_ONLY	EXACT_BINOMIAL_P	P1066593_DIRECTION	P1066593_E_ONLY	P1066593_I_ONLY	P1346432_DIRECTION	P1346432_E_ONLY	P1346432_I_ONLY	P881852_DIRECTION	P881852_E_ONLY	P881852_I_ONLY	BH_FDR_Q
blaOXA-281	1	0	1	0	LIMITED_SUPPORT	0	1	0	1	-1	1.000000	ABSENT	0	0	E_ENRICHED	1	0	ABSENT	0	0	1.000000
blaOXA-296	1	1	0	0	LIMITED_SUPPORT	1	0	5	5	5	0.062500	ABSENT	0	0	I_ENRICHED	0	5	ABSENT	0	0	0.219340
blaOXA-299	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
blaOXA-333	1	1	0	0	LIMITED_SUPPORT	2	0	3	3	3	0.250000	ABSENT	0	0	I_ENRICHED	0	3	ABSENT	0	0	0.540698
blaOXA-347	1	1	0	0	LIMITED_SUPPORT	0	0	3	3	3	0.250000	ABSENT	0	0	I_ENRICHED	0	3	ABSENT	0	0	0.540698
blaOXA-373	1	1	0	0	LIMITED_SUPPORT	0	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
blaOXA-392	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
blaOXA-4	3	3	0	0	I_ENRICHED_ALL_3	1	0	18	18	18	0.000008	I_ENRICHED	0	1	I_ENRICHED	0	10	I_ENRICHED	0	7	0.001419
blaOXA-427	1	1	0	0	LIMITED_SUPPORT	2	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
blaOXA-46	2	2	0	0	I_ENRICHED_2PLUS_NO_E	0	0	2	2	2	0.500000	ABSENT	0	0	I_ENRICHED	0	1	I_ENRICHED	0	1	0.894231
blaOXA-464	1	0	0	1	BALANCED_ONLY	1	0	0	0	0	1.000000	ABSENT	0	0	BALANCED	0	0	ABSENT	0	0	1.000000
blaOXA-5	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
blaOXA-58	2	2	0	0	I_ENRICHED_2PLUS_NO_E	0	1	4	5	3	0.375000	I_ENRICHED	0	1	I_ENRICHED	1	3	ABSENT	0	0	0.801724
blaOXA-72	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
blaOXA-9	1	1	0	0	LIMITED_SUPPORT	0	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
blaPAU-1	1	1	0	0	LIMITED_SUPPORT	0	0	3	3	3	0.250000	ABSENT	0	0	I_ENRICHED	0	3	ABSENT	0	0	0.540698
blaPER-4	1	0	0	1	BALANCED_ONLY	1	0	0	0	0	1.000000	ABSENT	0	0	BALANCED	0	0	ABSENT	0	0	1.000000
blaPLA1a	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
blaSHV-12	1	0	0	1	BALANCED_ONLY	1	0	0	0	0	1.000000	ABSENT	0	0	BALANCED	0	0	ABSENT	0	0	1.000000
blaSHV-129	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
blaTEM-104	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
blaTEM-116	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	I_ENRICHED	0	1	ABSENT	0	0	ABSENT	0	0	1.000000
blaTEM-122	1	1	0	0	LIMITED_SUPPORT	0	0	2	2	2	0.500000	ABSENT	0	0	I_ENRICHED	0	2	ABSENT	0	0	0.894231
blaTEM-1B	1	1	0	0	LIMITED_SUPPORT	1	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
blaTER-2	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
blaVEB-1	1	1	0	0	LIMITED_SUPPORT	1	0	2	2	2	0.500000	ABSENT	0	0	I_ENRICHED	0	2	ABSENT	0	0	0.894231
blaVEB-3	1	1	0	0	LIMITED_SUPPORT	1	0	2	2	2	0.500000	ABSENT	0	0	I_ENRICHED	0	2	ABSENT	0	0	0.894231
cat	1	1	0	0	LIMITED_SUPPORT	1	0	5	5	5	0.062500	ABSENT	0	0	I_ENRICHED	0	5	ABSENT	0	0	0.219340
cat(pC194)	1	1	0	0	LIMITED_SUPPORT	0	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
catB2	1	1	0	0	LIMITED_SUPPORT	1	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
catB3	1	1	0	0	LIMITED_SUPPORT	1	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
catB8	1	1	0	0	LIMITED_SUPPORT	1	0	1	1	1	1.000000	ABSENT	0	0	I_ENRICHED	0	1	ABSENT	0	0	1.000000
catP	1	1	0	0	LIMITED_SUPPORT	0	0	4	4	4	0.125000	ABSENT	0	0	I_ENRICHED	0	4	ABSENT	0	0	0.310000
