BIOPROJECT	FRACTION_PAIR_ID	MATCHED_UNIT_ID	SITE	TREATMENT_STAGE	E_ARG_RICHNESS	I_ARG_RICHNESS	E_MINUS_I_RICHNESS	E_ASSEMBLED_BP	I_ASSEMBLED_BP	LOG10_E_MINUS_I_ASSEMBLED_BP	E_N_CONTIGS	I_N_CONTIGS	LOG10_E_MINUS_I_N_CONTIGS	E_MINUS_I_BP_ADJUSTED_RICHNESS	E_MINUS_I_CONTIG_ADJUSTED_RICHNESS
PRJNA1346432	PRJNA1346432:NO:PRE_TREATMENT	PRJNA1346432:NO	NO	PRE_TREATMENT	8.0	79.0	-71.0	436523732.0	565977160.0	-0.11279104610617274	387472.0	443958.0	-0.05910156183117721	-60.91318468147381	-66.19071783455666
PRJNA1346432	PRJNA1346432:VB:POST_TREATMENT	PRJNA1346432:VB	VB	POST_TREATMENT	72.0	127.0	-55.0	366121565.0	690108103.0	-0.2752918166632039	312854.0	563159.0	-0.25528931705686997	-30.380867460264312	-34.22629586241919
PRJNA1346432	PRJNA1346432:VB:PRE_TREATMENT	PRJNA1346432:VB	VB	PRE_TREATMENT	0.0	8.0	-8.0	140788864.0	524534877.0	-0.5712060655871767	78642.0	379164.0	-0.6831725464070981	43.08251311878303	47.59192416507284
PRJNA881852	PRJNA881852:CB:C:POST_DISINFECTION	PRJNA881852:CB:C	CB	POST_DISINFECTION	4.0	18.0	-14.0	339692271.0	441573308.0	-0.11391714799792396	211920.0	288010.0	-0.13323562187777327	-7.148637713875814	-8.121681453228376
PRJNA881852	PRJNA881852:CB:C:PRE_DISINFECTION	PRJNA881852:CB:C	CB	PRE_DISINFECTION	0.0	20.0	-20.0	233574895.0	479801986.0	-0.3126358789811974	122512.0	320379.0	-0.4174854117353224	-1.197021623292983	-1.5806598549022226
PRJNA881852	PRJNA881852:CB:D:POST_DISINFECTION	PRJNA881852:CB:D	CB	POST_DISINFECTION	1.0	19.0	-18.0	248214096.0	437070619.0	-0.24572517178056508	151395.0	276338.0	-0.26132907774534075	-3.2212576923058123	-6.470233839337595
PRJNA881852	PRJNA881852:CB:D:PRE_DISINFECTION	PRJNA881852:CB:D	CB	PRE_DISINFECTION	0.0	25.0	-25.0	228979026.0	466047880.0	-0.3086348330626034	120935.0	312899.0	-0.4128521662357265	-6.437658047163154	-6.78507735652957
PRJNA881852	PRJNA881852:VB:A:POST_DISINFECTION	PRJNA881852:VB:A	VB	POST_DISINFECTION	13.0	20.0	-7.0	446296034.0	503608053.0	-0.05246963861585385	307498.0	368474.0	-0.07856455347550728	-3.844298602122876	-3.5337537716634415
PRJNA881852	PRJNA881852:VB:A:PRE_DISINFECTION	PRJNA881852:VB:A	VB	PRE_DISINFECTION	5.0	19.0	-14.0	337781305.0	461411714.0	-0.13545300665427895	224525.0	348749.0	-0.1912482659298087	-5.853398389589415	-5.56217974736191
PRJNA881852	PRJNA881852:VB:B:POST_DISINFECTION	PRJNA881852:VB:B	VB	POST_DISINFECTION	2.0	15.0	-13.0	341631372.0	545505475.0	-0.20324136867091092	225769.0	415868.0	-0.2652911944150098	-0.7763771937343336	-1.2954263548560334
PRJNA881852	PRJNA881852:VB:B:PRE_DISINFECTION	PRJNA881852:VB:B	VB	PRE_DISINFECTION	0.0	16.0	-16.0	281371558.0	567615457.0	-0.30477401807623217	182637.0	396771.0	-0.33695115724152735	2.3301394911687794	-1.1338087438352034
