Run	BioProject	Experiment	LibraryName	Sample	SampleName	BioSample	ScientificName	LibraryStrategy	LibrarySource	LibrarySelection	spots	bases	avgLength	size_MB	Model
SRR35815519	PRJNA1346432	SRX30864810	i_PRE-NO	SRS26870121	i-PRE-NO	SAMN52834538	metagenome	WGS	METAGENOMIC	RANDOM PCR	47042382	14112714600	300	4858	Illumina NovaSeq 6000
SRR35815520	PRJNA1346432	SRX30864809	i_PRE-MZ	SRS26870120	i-PRE-MZ	SAMN52834537	metagenome	WGS	METAGENOMIC	RANDOM PCR	59295755	17788726500	300	6136	Illumina NovaSeq 6000
SRR35815521	PRJNA1346432	SRX30864808	i_PRE-GV	SRS26870119	i-PRE-GV	SAMN52834536	metagenome	WGS	METAGENOMIC	RANDOM PCR	55472142	16641642600	300	5708	Illumina NovaSeq 6000
SRR35815522	PRJNA1346432	SRX30864806	i_POST-VB	SRS26870117	i-POST-VB	SAMN52834534	metagenome	WGS	METAGENOMIC	RANDOM PCR	60795742	18238722600	300	6229	Illumina NovaSeq 6000
SRR35815523	PRJNA1346432	SRX30864805	i_POST-NO	SRS26870116	i-POST-NO	SAMN52834533	metagenome	WGS	METAGENOMIC	RANDOM PCR	97769870	29330961000	300	9909	Illumina NovaSeq 6000
SRR35815524	PRJNA1346432	SRX30864804	i_POST-MZ	SRS26870115	i-POST-MZ	SAMN52834532	metagenome	WGS	METAGENOMIC	RANDOM PCR	48150181	14445054300	300	5010	Illumina NovaSeq 6000
SRR35815525	PRJNA1346432	SRX30864807	i_PRE-CB	SRS26870118	i-PRE-CB	SAMN52834535	metagenome	WGS	METAGENOMIC	RANDOM PCR	65309506	19592851800	300	6649	Illumina NovaSeq 6000
SRR35815526	PRJNA1346432	SRX30864803	i_POST-GV	SRS26870114	i-POST-GV	SAMN52834531	metagenome	WGS	METAGENOMIC	RANDOM PCR	68079724	20423917200	300	6830	Illumina NovaSeq 6000
SRR35815527	PRJNA1346432	SRX30864802	i_POST-CB	SRS26870113	i-POST-CB	SAMN52834530	metagenome	WGS	METAGENOMIC	RANDOM PCR	63594227	19078268100	300	6607	Illumina NovaSeq 6000
SRR35815528	PRJNA1346432	SRX30864801	e_POST-GV	SRS26870112	e-POST-GV	SAMN52834521	metagenome	WGS	METAGENOMIC	RANDOM PCR	52771566	15831469800	300	5363	Illumina NovaSeq 6000
SRR35815529	PRJNA1346432	SRX30864800	e_POST-CB	SRS26870111	e-POST-CB	SAMN52834520	metagenome	WGS	METAGENOMIC	RANDOM PCR	51278763	15383628900	300	5245	Illumina NovaSeq 6000
